responses,tag,time_elapsed,trial_type,pid
62,kizik,102949,slider,14
63,daxby,108172,slider,14
50,kizik,121655,slider,23
50,daxby,128183,slider,23
33,kizik,206795,slider,13
10,daxby,219818,slider,13
10,kizik,249822,slider,9
50,daxby,254449,slider,9
30,kizik,157135,slider,5
40,daxby,168160,slider,5
20,kizik,139970,slider,3
20,daxby,143965,slider,3
50,kizik,176446,slider,26
28,daxby,180491,slider,26
6,kizik,194556,slider,22
3,daxby,201394,slider,22
59,kizik,159193,slider,31
32,daxby,163936,slider,31
60,kizik,215457,slider,6
60,daxby,220209,slider,6
40,kizik,115773,slider,1
55,daxby,121315,slider,1
46,kizik,236992,slider,33
21,daxby,249386,slider,33
50,kizik,131697,slider,32
50,daxby,137551,slider,32
50,kizik,356587,slider,28
50,daxby,359913,slider,28
30,kizik,149359,slider,24
33,daxby,154835,slider,24
10,kizik,189380,slider,21
20,daxby,200599,slider,21
25,kizik,107490,slider,4
40,daxby,115705,slider,4
30,kizik,156847,slider,37
58,daxby,161989,slider,37
50,kizik,181118,slider,15
50,daxby,186973,slider,15
22,kizik,145050,slider,7
76,daxby,153119,slider,7
65,kizik,121276,slider,11
30,daxby,126520,slider,11
10,kizik,174313,slider,17
10,daxby,183552,slider,17
79,kizik,150248,slider,29
8,daxby,156743,slider,29
17,kizik,140420,slider,35
19,daxby,143922,slider,35
16,kizik,164527,slider,10
60,daxby,169575,slider,10
6,kizik,276246,slider,34
50,daxby,282232,slider,34
40,kizik,141493,slider,30
30,daxby,148462,slider,30
50,kizik,161653,slider,16
50,daxby,165332,slider,16
33,kizik,113516,slider,19
42,daxby,118028,slider,19
38,kizik,156516,slider,25
27,daxby,165546,slider,25
40,kizik,151335,slider,2
39,daxby,155530,slider,2
42,kizik,185959,slider,0
68,daxby,190850,slider,0
20,kizik,138508,slider,27
20,daxby,149016,slider,27
55,kizik,309293,slider,12
61,daxby,319941,slider,12
85,kizik,154535,slider,8
1,daxby,158401,slider,8
33,kizik,163826,slider,36
33,daxby,171612,slider,36
50,kizik,123202,slider,18
50,daxby,126092,slider,18
